track_name,artist(s)_name,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",141381703,125,B,Major,80,89,83,31,0,8,4
LALA,Myke Towers,133716286,92,C#,Major,71,61,74,7,0,10,4
vampire,Olivia Rodrigo,140003974,138,F,Major,51,32,53,17,0,31,6
Cruel Summer,Taylor Swift,800840817,170,A,Major,55,58,72,11,0,11,15
WHERE SHE GOES,Bad Bunny,303236322,144,A,Minor,65,23,80,14,63,11,6
Sprinter,"Dave, Central Cee",183706234,141,C#,Major,92,66,58,19,0,8,24
Ella Baila Sola,"Eslabon Armado, Peso Pluma",725980112,148,F,Minor,67,83,76,48,0,8,3
Columbia,Quevedo,58149378,100,F,Major,67,26,71,37,0,11,4
fukumean,Gunna,95217315,130,C#,Minor,85,22,62,12,0,28,9
La Bebe - Remix,"Peso Pluma, Yng Lvcas",553634067,170,D,Minor,81,56,48,21,0,8,33
un x100to,"Bad Bunny, Grupo Frontera",505671438,83,F#,Minor,57,56,72,23,0,27,5
Super Shy,NewJeans,58255150,150,F,Minor,78,52,82,18,0,15,7
Daylight,David Kushner,387570742,130,D,Minor,51,32,43,83,0,9,3
Kill Bill,SZA,1163093654,89,G#,Major,64,43,73,5,17,16,4
Cupid - Twin Ver.,Fifty Fifty,496795686,120,B,Minor,78,76,59,43,0,34,3
Classy 101,"Feid, Young Miko",335222234,100,B,Major,86,67,66,14,0,12,16
Like Crazy,Jimin,363369738,120,G,Major,63,36,73,0,0,36,4
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",86444842,140,F,Minor,65,87,74,22,0,42,4
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,52135248,123,F#,Major,69,82,76,6,0,6,3
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",200647221,133,F,Minor,85,81,67,26,0,12,5
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",115364561,99,C#,Major,85,83,68,7,0,36,20
SABOR FRESA,Fuerza Regida,78300654,130,G,Minor,79,96,86,9,0,9,9
MOJABI GHOST,"Tainy, Bad Bunny",61245289,122,F#,Minor,81,74,71,14,0,56,4
Last Night,Morgan Wallen,429829812,204,F#,Major,52,52,68,46,0,15,4
Dance The Night (From Barbie The Album),Dua Lipa,127408954,110,B,Minor,67,78,85,2,0,33,5
Rush,Troye Sivan,22581161,126,F,Minor,74,35,84,0,0,11,6
TULUM,"Peso Pluma, Grupo Frontera",52294266,168,F#,Major,56,63,87,39,0,11,5
Creepin',"The Weeknd, 21 Savage, Metro Boomin",843957510,98,C#,Minor,71,17,61,36,0,8,5
Anti-Hero,Taylor Swift,999748277,97,E,Major,64,51,63,12,0,19,5
TQG,"Karol G, Shakira",618990393,180,E,Minor,72,61,63,67,0,9,28
Blank Space,Taylor Swift,1355959075,96,F,Major,75,57,68,9,0,13,6
Style,Taylor Swift,786181836,95,D,Major,60,48,79,0,0,12,4
TQM,Fuerza Regida,176553476,125,F,Minor,79,96,85,27,0,11,6
El Azul,"Junior H, Peso Pluma",354495408,144,A,Minor,56,84,65,23,0,10,6
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2808096550,90,D,Major,76,91,50,54,0,7,5
I'm Good (Blue),"Bebe Rexha, David Guetta",1109433169,128,G,Minor,56,38,97,4,0,35,4
See You Again,"Tyler, The Creator, Kali Uchis",1047101291,79,F#,Major,56,58,56,37,0,11,10
Angels Like You,Miley Cyrus,570515054,122,F,Major,67,49,64,10,0,10,3
Die For You,The Weeknd,1647990401,134,C#,Minor,59,51,52,9,0,15,7
Starboy,"The Weeknd, Daft Punk",2565529693,186,G,Major,68,49,59,16,0,13,28
Die For You - Remix,"Ariana Grande, The Weeknd",518745108,67,C#,Minor,53,50,53,23,0,44,7
El Cielo,"Feid, Myke Towers, Sky Rompiendo",107753850,106,A#,Minor,72,17,64,7,0,10,5
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",177740666,128,G,Major,60,23,91,0,0,12,3
AMARGURA,Karol G,153372011,107,F#,Minor,92,55,70,18,0,15,7
(It Goes Like) Nanana - Edit,Peggy Gou,57876440,130,G,Minor,67,96,88,12,19,8,4
Moonlight,Kali Uchis,256483385,137,G,Minor,64,88,72,51,0,17,5
La Bachata,Manuel Turizo,1214083358,125,G,Minor,84,85,68,58,0,22,4
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",156338624,133,F,Major,70,86,81,25,0,25,5
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",720434240,101,D,Major,88,72,59,62,0,9,3
BESO,"Rauw Alejandro, ROSALï¿½",357925728,95,F,Minor,77,53,64,74,0,17,14
Hey Mor,"Ozuna, Feid",674072710,98,C#,Minor,90,40,59,0,0,10,29
Yellow,Chris Molitor,1755214421,173,B,Major,43,28,66,0,0,23,3
Karma,Taylor Swift,404562836,90,G#,Major,64,10,62,7,0,48,7
People,Libianca,373199958,198,A#,Minor,59,71,42,55,0,10,7
Overdrive,Post Malone,14780425,140,C#,Major,56,48,73,0,0,35,4
Enchanted (Taylor's Version),Taylor Swift,39578178,82,G#,Major,51,22,53,1,0,15,3
BABY HELLO,"Rauw Alejandro, Bizarrap",54266102,130,C#,Minor,77,84,89,17,0,43,5
golden hour,JVKE,751134527,94,C#,Minor,51,14,59,65,18,25,3
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",1356565093,128,D,Major,62,55,78,1,3,23,4
Viva La Vida,Coldplay,1592909789,138,F,Minor,49,42,62,9,0,11,3
Here With Me,d4vd,635412045,132,E,Major,58,27,48,50,0,12,3
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",1230675890,131,D,Major,71,24,47,1,0,27,9
Yandel 150,"Yandel, Feid",585695368,168,F#,Minor,78,58,73,5,0,10,7
Riptide,Vance Joy,2009094673,102,C#,Major,48,50,73,43,0,15,4
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",600976848,101,A#,Major,34,32,57,78,0,20,3
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",39709092,130,F,Major,63,36,34,76,0,35,9
Back To December (Taylor's Version),Taylor Swift,39228929,142,D,Major,50,20,64,1,0,12,3
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2665343922,170,C#,Major,59,48,76,4,0,10,5
El Merengue,"Marshmello, Manuel Turizo",223633238,124,G#,Minor,78,70,68,3,1,11,4
Me Porto Bonito,"Chencho Corleone, Bad Bunny",1440757818,92,C#,Minor,91,43,71,9,0,9,8
Makeba,Jain,165484133,116,D,Major,82,40,66,39,51,25,7
MONTAGEM - FR PUNK,"Ayparia, unxbected",58054811,129,A,Major,63,84,82,70,8,9,7
Fast Car,Luke Combs,157058870,98,G#,Major,71,67,60,19,0,12,3
What It Is (Solo Version),Doechii,95131998,172,C#,Minor,74,76,76,6,0,10,9
Coco Chanel,"Bad Bunny, Eladio Carrion",250305248,150,D,Major,68,14,76,4,0,10,4
Still With You,Jung Kook,38411956,88,C#,Minor,53,34,47,9,0,83,4
All My Life (feat. J. Cole),"J. Cole, Lil Durk",144565150,143,D#,Major,83,69,44,15,0,10,33
Say Yes To Heaven,Lana Del Rey,127567540,100,F#,Minor,49,17,35,71,9,11,3
Snooze,SZA,399686758,143,F,Major,56,39,55,14,0,11,13
Summertime Sadness,Lana Del Rey,983637508,112,C#,Minor,56,24,66,7,0,12,3
Take Two,BTS,118482347,93,G,Major,62,57,59,3,0,38,3
Lover,Taylor Swift,882831184,206,G,Major,43,50,55,50,0,15,10
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",286400165,88,G,Minor,68,17,71,15,0,11,5
Chemical,Post Malone,172825906,170,D,Major,50,37,90,0,0,12,5
Mockingbird,Eminem,1241559043,84,E,Minor,62,24,67,21,0,13,28
New Jeans,NewJeans,29562220,134,E,Minor,81,53,72,51,0,12,5
Primera Cita,Carin Leon,77309611,158,A#,Major,54,50,40,61,0,10,6
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",1605224506,116,C#,Major,80,92,80,4,0,10,3
Dandelions,Ruth B.,1116995633,117,C#,Major,61,45,69,2,0,9,3
Bones,Imagine Dragons,838079900,114,F,Minor,77,65,72,2,0,7,5
Set Fire to the Rain,Adele,1163620694,108,D,Minor,61,47,68,0,0,13,3
Money Trees,"Kendrick Lamar, Jay Rock",1093605526,144,E,Minor,74,37,53,7,0,21,10
Tak Segampang Itu,Anggi Marito,179659294,130,F,Major,51,18,44,76,0,11,3
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",39058561,116,B,Major,77,79,62,33,1,15,3
Mine (Taylor's Version),Taylor Swift,36912123,121,G,Major,65,49,78,0,0,17,4
Everybody Wants To Rule The World,Tears For Fears,1205951614,112,G,Major,64,54,81,36,0,11,6
No Role Modelz,J. Cole,1791000570,100,A#,Minor,70,47,52,30,0,6,33
Tattoo,Loreen,201660859,150,D#,Minor,55,30,78,24,0,12,8
Rara Vez,"Taiu, Milo j",248088961,120,F,Minor,84,96,71,18,0,34,17
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",90839753,127,B,Minor,82,89,85,4,0,23,6
august,Taylor Swift,607123776,90,F,Major,51,42,61,53,0,9,3
LUNA,"Junior H, Peso Pluma",55842345,128,A,Minor,75,79,63,33,0,15,4
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",211050784,143,A,Major,64,31,87,4,4,8,4
Nonsense,Sabrina Carpenter,342897938,139,G#,Major,74,68,68,3,0,26,4
Que Vuelvas,"Carin Leon, Grupo Frontera",2762,162,A#,Major,49,78,64,19,0,11,4
Feliz Cumpleaï¿½ï¿½os Fe,Feid,601863821,95,F,Major,87,57,55,10,0,29,7
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",1953533826,146,D,Major,63,88,93,3,0,10,8
lovely - Bonus Track,"Billie Eilish, Khalid",2355719893,115,E,Minor,35,12,30,93,0,10,3
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",66902503,128,B,Major,78,59,65,10,0,26,5
Queencard,(G)I-DLE,96273746,130,E,Minor,82,69,83,3,0,27,5
OMG,NewJeans,430977451,127,A,Minor,80,74,77,36,0,11,4
Radio,Lana Del Rey,284819874,150,D,Major,42,20,86,21,0,9,9
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",721975598,122,D,Minor,78,50,63,27,0,9,5
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",276259178,119,C#,Minor,75,48,53,18,0,18,34
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",54225632,110,G,Minor,76,96,72,32,0,9,4
Perfect,Ed Sheeran,2559529074,95,G#,Major,60,17,45,16,0,11,2
Romantic Homicide,d4vd,681583126,132,F#,Major,56,20,55,45,1,32,3
Believer,Imagine Dragons,2594040133,125,A#,Minor,77,74,78,4,0,23,11
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",81102253,124,D#,Minor,84,65,50,67,0,13,6
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",11956641,133,B,Minor,93,68,65,42,0,12,25
Without Me,Eminem,1687664027,112,G,Major,92,67,66,0,0,36,9
Stargirl Interlude,"The Weeknd, Lana Del Rey",611700552,90,F,Minor,59,52,48,38,5,10,11
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",1133865788,80,D#,Minor,65,27,69,8,0,53,4
Somewhere Only We Know,Keane,1089402494,172,A,Major,45,33,59,6,0,8,3
Those Eyes,New West,411747614,120,E,Major,60,24,35,73,0,31,3
El Gordo Trae El Mando,Chino Pacas,255932395,140,G,Minor,74,96,80,18,0,5,5
Mi Bello Angel,Natanael Cano,31873544,128,A,Minor,81,90,77,1,0,9,5
Nosso Quadro,"Ana Castela, AgroPlay",233801632,160,A,Major,69,61,71,33,0,31,20
Locked Out Of Heaven,Bruno Mars,1481349984,144,F,Major,73,87,70,6,0,28,5
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",142095275,192,B,Major,50,85,52,11,0,28,6
Counting Stars,OneRepublic,2011464183,122,C#,Minor,66,48,71,6,0,12,4
PRC,"Natanael Cano, Peso Pluma",436027885,138,G,Minor,78,89,83,10,0,12,5
One Dance,"Drake, WizKid, Kyla",2713922350,104,C#,Major,77,36,63,1,0,36,5
Enchanted,Taylor Swift,621660989,164,G#,Major,45,24,62,8,0,16,3
Sure Thing,Miguel,950906471,81,B,Minor,68,51,60,3,0,19,10
Every Breath You Take - Remastered 2003,The Police,1593270737,117,C#,Major,82,73,45,54,0,7,3
The Night We Met,Lord Huron,1410088830,174,D,Major,45,10,37,97,25,64,4
We Found Love,"Rihanna, Calvin Harris",1235005533,128,C#,Major,73,60,77,3,0,11,4
Let Me Down Slowly,Alec Benjamin,1374581173,150,C#,Minor,65,51,55,73,0,14,3
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",94186466,90,A,Minor,60,13,53,4,0,21,4
Do I Wanna Know?,Arctic Monkeys,1788326445,85,F,Major,55,42,53,17,0,22,3
Demons,Imagine Dragons,1840364617,180,D#,Major,33,38,71,20,0,28,5
Reminder,The Weeknd,684675814,160,G#,Major,71,40,50,16,0,16,22
Shake It Off,Taylor Swift,1113838873,160,G,Major,65,95,80,5,0,41,16
Why'd You Only Call Me When You're High?,Arctic Monkeys,1267333350,92,D,Major,70,81,63,4,0,8,4
Shape of You,Ed Sheeran,3562543890,96,C#,Minor,83,93,65,58,0,9,8
Creep,Radiohead,1271293243,92,G,Major,53,12,34,1,0,12,4
Car's Outside,James Arthur,265882712,150,A,Major,34,24,56,4,0,11,3
Apocalypse,Cigarettes After Sex,841749534,94,F,Major,37,17,47,2,46,11,3
Cheques,Shubh,47956378,90,E,Minor,74,36,63,26,0,27,5
Pink + White,Frank Ocean,806397070,160,A,Major,54,54,55,67,0,42,11
Just The Way You Are,Bruno Mars,1641426668,109,F,Major,63,46,85,1,0,9,5
Take Me To Church,Hozier,2135158446,129,E,Minor,57,41,66,63,0,12,5
Bebe Dame,"Fuerza Regida, Grupo Frontera",367316268,157,G,Major,54,75,60,30,0,7,5
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,350381515,130,F#,Major,63,49,73,5,0,9,3
Titi Me Preguntï¿,Bad Bunny,1264310836,107,F,Minor,65,19,72,10,0,13,25
Better Than Revenge (Taylor's Version),Taylor Swift,30343206,146,B,Minor,50,67,89,0,0,19,8
Shut up My Moms Calling,Hotel Ugly,405136812,139,A,Minor,48,37,41,32,0,10,10
Es un Secreto,Plan B,540654286,95,F#,Minor,84,52,77,12,0,7,4
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",57312735,170,G#,Minor,62,55,80,15,0,37,7
Ditto,NewJeans,397582059,134,F#,Minor,81,18,64,3,0,10,11
Take On Me,a-ha,1479115056,84,F#,Minor,57,86,90,2,0,9,5
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",86773632,146,B,Minor,61,20,48,21,0,12,6
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",133753727,74,A#,Minor,53,24,67,11,0,10,28
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",463564958,136,B,Minor,77,79,73,15,0,27,10
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",64533040,100,E,Major,56,53,55,53,0,12,4
S-Class,Stray Kids,65496046,105,F,Minor,89,67,78,9,0,7,33
Hits Different,Taylor Swift,68616963,106,F,Major,67,24,78,15,0,30,4
Chanel,"Becky G, Peso Pluma",161460990,132,D,Major,85,53,68,40,0,9,4
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",70106975,120,A,Major,78,5,30,21,0,13,5
Area Codes,"Kaliii, Kaliii",113509496,155,C#,Major,82,51,39,2,0,9,49
Abcdario,"Junior H, Eden Muï¿½ï",89933133,129,G#,Major,70,42,43,78,0,11,3
Obsessed,"Abhijay Sharma, Riar Saab",71007139,135,F,Minor,80,85,74,62,0,8,9
FLOWER,JISOO,232896922,124,A,Minor,84,64,39,3,0,11,4
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",37126685,135,A,Minor,77,28,55,18,0,22,15
Eyes Closed,Ed Sheeran,195576623,107,D,Major,78,39,53,30,0,11,6
La Jumpa,"Arcangel, Bad Bunny",538115192,123,G#,Major,71,58,70,30,0,32,19
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",46142772,90,G#,Major,62,7,62,6,0,58,6
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",401036314,117,F,Minor,72,45,59,14,0,20,21
Las Morras,"BLESSD, Peso Pluma",127026613,133,A,Minor,78,90,84,31,0,7,4
CHORRITO PA LAS ANIMAS,Feid,345031710,96,G#,Minor,74,61,83,11,0,35,6
Ch y la Pizza,"Fuerza Regida, Natanael Cano",288101651,149,G#,Major,66,85,60,40,0,14,13
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",60350538,110,F#,Minor,66,32,40,81,0,11,3
Players,Coi Leray,335074782,105,F#,Major,95,62,52,3,0,5,16
Bite Me,ENHYPEN,76767396,105,C#,Major,80,69,78,28,0,11,14
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",46065667,134,B,Major,76,61,58,6,0,16,3
Normal,Feid,459276435,170,E,Minor,71,59,56,4,0,27,12
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",39666245,81,F#,Major,59,26,60,46,1,25,13
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",138517666,154,F#,Major,63,75,92,31,0,91,5
Bad Habit,Steve Lacy,822633917,169,C#,Major,69,69,51,63,0,38,4
CUFF IT,Beyoncï¿,595900742,115,G,Major,78,64,69,4,0,7,14
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",51985779,84,A,Minor,43,14,74,1,0,19,8
69,"Nicky Jam, Feid",57945987,93,G#,Major,79,58,62,11,0,11,23
Search & Rescue,Drake,175097833,142,A#,Minor,82,54,44,6,0,33,7
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",57089066,126,C#,Major,78,20,70,1,0,16,4
Lavender Haze,Taylor Swift,488386797,97,A#,Major,73,10,44,26,0,16,8
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",32761689,101,F,Major,92,59,51,41,51,26,8
Efecto,Bad Bunny,1047480053,98,G,Minor,80,23,48,14,0,6,5
Erro Gostoso - Ao Vivo,Simone Mendes,153454328,154,F#,Major,59,63,89,18,0,80,9
Cupido,Tini,217672943,120,A,Major,91,63,58,52,0,31,22
Just Wanna Rock,Lil Uzi Vert,457184829,150,B,Major,49,4,55,7,0,6,3
Until I Found You,Stephen Sanchez,726434358,202,A#,Major,34,25,51,69,0,18,4
Rich Flex,"Drake, 21 Savage",573633020,153,B,Minor,56,42,52,5,0,36,24
Easy On Me,Adele,1406111294,142,F,Major,60,13,37,58,0,13,3
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",71573339,108,A,Minor,84,55,47,26,0,20,64
Danger (Spider) (Offset & JID),"Offset, JID",24975653,143,B,Major,83,25,69,4,0,23,12
The Real Slim Shady,Eminem,1424589568,104,F,Minor,95,78,66,3,0,4,6
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",231332117,93,F#,Minor,84,96,79,43,0,18,11
The Color Violet,Tory Lanez,415932686,105,F#,Minor,65,46,53,16,0,9,5
Glimpse of Us,Joji,988515741,170,G#,Major,44,27,32,89,0,14,5
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",50847624,178,C#,Minor,62,56,66,18,0,12,5
Curtains,Ed Sheeran,39893489,176,F#,Minor,50,44,76,10,0,32,5
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",92035115,104,E,Minor,80,38,88,11,0,11,5
Haegeum,Agust D,118810253,85,G,Major,70,83,84,31,0,47,30
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",77233241,117,F#,Minor,77,69,58,39,0,26,5
Never Felt So Alone,Labrinth,117747907,98,F,Major,44,36,41,50,0,38,5
X SI VOLVEMOS,"Karol G, Romeo Santos",266624541,178,C#,Minor,79,58,78,34,0,11,25
ceilings,Lizzy McAlpine,293186992,148,A,Major,51,27,33,48,0,22,3
Cupid,Fifty Fifty,139681964,120,D,Major,77,94,66,65,0,38,3
I AM,IVE,123132751,122,E,Minor,68,38,88,1,0,8,5
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,103762518,144,F,Major,74,75,73,42,0,9,4
Shorty Party,"Cartel De Santa, La Kelly",162887075,96,D,Major,93,47,47,33,0,10,36
Super,SEVENTEEN,91221625,137,G#,Major,77,35,88,16,0,17,9
Slut Me Out,NLE Choppa,190490915,121,F#,Minor,94,71,61,12,0,53,42
Double Fantasy (with Future),"The Weeknd, Future",96180277,119,A,Minor,60,10,57,1,0,50,3
All Of The Girls You Loved Before,Taylor Swift,185240616,96,D,Major,72,40,47,71,0,13,4
PROVENZA,Karol G,885093467,111,C#,Major,87,53,52,66,1,11,5
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",104992946,148,A,Major,90,74,68,14,0,10,19
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",147290338,182,A,Major,57,80,59,8,0,6,5
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",158950978,145,E,Minor,76,80,81,19,0,6,9
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",76910644,110,B,Minor,76,26,70,1,0,41,6
Komang,Raim Laode,137123880,134,G,Major,70,35,41,41,0,10,3
DESPECHï¿,ROSALï¿½,782369383,130,G,Major,92,78,62,18,0,6,10
Made You Look,Meghan Trainor,502574952,145,A#,Major,84,88,53,35,0,8,7
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",207033255,130,B,Minor,69,36,90,1,10,15,4
Punto G,Quevedo,381161027,92,B,Minor,75,55,76,25,0,10,15
Lovers Rock,TV Girl,466231982,105,F,Minor,56,57,87,0,1,10,4
METAMORPHOSIS,INTERWORLD,357580552,175,G,Minor,59,15,64,43,90,12,10
Mami Chula,"Quevedo, Jhayco",61105704,120,G,Minor,80,33,70,22,0,9,4
En Paris,"El Chachito, Junior H",198275403,139,D#,Minor,70,77,48,37,0,12,5
I Was Never There,"The Weeknd, Gesaffelstein",705469769,114,A#,Major,32,17,74,14,0,17,3
Don't ever say love me (feat. RM of BTS),"RM, Colde",34502215,145,B,Minor,54,19,48,36,0,37,5
Gato de Noche,"Nengo Flow, Bad Bunny",304118600,94,G#,Major,89,61,66,17,0,36,16
Call Out My Name,The Weeknd,1449799467,134,C#,Major,45,17,60,21,0,33,4
Like Crazy (English Version),Jimin,173627354,120,G,Major,62,32,76,0,0,39,4
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",90025258,123,G,Minor,70,86,68,24,0,11,4
Sunroof,"Nicky Youre, Dazy",652704649,131,A#,Major,77,84,71,35,0,15,4
Lose Yourself - Soundtrack Version,Eminem,1829992958,171,D,Major,70,6,73,1,0,36,26
