track_name,artist(s)_name,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",863756573,123,D,Major,82,80,86,1,0,30,13
RAPSTAR,Polo G,797402345,81,F#,Major,79,44,54,41,0,13,24
'Till I Collapse,"Eminem, Nate Dogg",1695712020,171,C#,Major,55,10,85,7,0,8,20
Memories,Maroon 5,1759567999,91,B,Major,77,60,32,84,0,8,5
Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",223319934,84,G,Minor,56,61,76,10,0,14,11
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",54937991,115,F,Minor,90,74,54,16,0,13,28
MAMIII,"Karol G, Becky G",716591492,94,E,Minor,84,90,70,9,0,14,8
Still D.R.E.,"Dr. Dre, Snoop Dogg",1210599487,93,B,Major,81,53,78,18,0,6,24
Stay Alive (Prod. SUGA of BTS),Jung Kook,246376690,130,D,Minor,51,50,76,30,0,10,7
Boyfriend,Dove Cameron,496311364,180,G,Minor,35,23,61,23,0,19,6
The Next Episode,"Dr. Dre, Snoop Dogg",843309044,95,D#,Minor,92,31,89,3,0,8,25
Light Switch,Charlie Puth,500340342,184,F#,Major,69,91,63,11,0,9,31
City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",107255472,147,G#,Minor,47,50,80,10,0,32,38
Brividi,"Mahmood, Blanco",135079152,123,G,Major,52,44,60,40,0,26,3
Lost,Frank Ocean,822239726,123,A#,Minor,91,49,61,3,0,17,22
In Da Club,50 Cent,1202722675,90,F#,Minor,90,79,71,26,0,7,37
she's all i wanna be,Tate McRae,343197054,160,D,Minor,61,65,64,1,0,12,4
Ginseng Strip 2002,Yung Lean,240769997,115,C#,Major,60,37,71,8,0,48,4
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",426204830,141,D#,Major,37,17,67,2,0,34,9
Notion,The Rare Occasions,421135627,160,A,Major,31,30,88,7,0,8,8
Formula,Labrinth,554875730,145,B,Major,57,23,66,4,6,15,4
Excuses,"Intense, AP Dhillon, Gurinder Gill",327498031,95,F,Minor,84,49,72,8,0,15,8
Cigarettes,Juice WRLD,185408548,160,D,Major,60,47,62,3,0,38,4
California Love - Original Version (Explicit),"Dr. Dre, 2Pac, Roger",579395142,92,G,Major,77,76,84,3,0,38,4
Forgot About Dre,"Eminem, Dr. Dre",675039469,134,G#,Major,93,61,74,9,0,17,8
Down Under (feat. Colin Hay),"Luude, Colin Hay",252871192,172,B,Minor,31,4,86,1,0,28,17
Mujeriego,Ryan Castro,231996128,80,A,Major,76,92,62,6,0,8,13
HUMBLE.,Kendrick Lamar,1929770265,150,C#,Minor,91,42,60,0,0,9,12
Stan,"Eminem, Dido",918915401,80,F#,Minor,78,53,74,4,0,45,21
Contection,"GODZZ__-, Zakaria",1180896317,166,A#,Minor,81,83,75,14,0,29,34
Swim,Chase Atlantic,498960285,120,G#,Major,67,8,54,27,0,8,4
Numb Little Bug,Em Beihold,258714692,85,G#,Minor,74,61,52,30,0,26,9
212,"Mainstreet, Chefin",143139338,154,D,Minor,79,86,52,66,0,9,7
Problemï¿½,"Alvaro Diaz, Rauw Alejandro",209768491,92,D,Minor,73,37,74,28,0,14,6
Bussin,"Nicki Minaj, Lil Baby",64714573,140,B,Major,89,75,70,6,0,13,5
Worst Day,Future,50746620,89,C#,Major,65,60,60,11,0,10,40
Hrs and Hrs,Muni Long,181328253,140,G#,Minor,51,66,53,60,0,11,18
Alien Blues,Vundabar,370068639,82,D#,Major,47,44,76,8,91,9,3
Thinking Out Loud,Ed Sheeran,2280566092,79,D,Major,78,58,45,47,0,18,3
Still Don't Know My Name,Labrinth,563902868,88,F,Major,31,31,63,47,27,21,12
Christmas Tree,V,317622165,139,F,Major,44,18,38,70,0,12,4
When I R.I.P.,Labrinth,203680270,80,G#,Minor,39,45,55,73,0,9,21
Do We Have A Problem?,"Nicki Minaj, Lil Baby",81350745,120,C#,Minor,84,54,51,47,0,12,40
Forever,Labrinth,282883169,80,E,Minor,56,19,46,92,72,11,3
Gospel (with Eminem),"Eminem, Dr. Dre",64787943,117,C#,Major,92,62,86,11,0,24,24
NEW MAGIC WAND,"Tyler, The Creator",461437791,140,F,Minor,62,46,73,10,0,67,11
Adore You,Harry Styles,1439191367,99,G#,Major,68,57,77,2,0,10,5
La Santa,"Daddy Yankee, Bad Bunny",759208783,93,C#,Major,74,59,87,3,0,8,5
Something In The Way - Remastered 2021,Nirvana,368646862,106,G#,Major,44,8,20,74,42,11,3
Sweetest Pie,"Dua Lipa, Megan Thee Stallion",299634472,124,G,Major,81,68,63,17,0,10,22
Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",756907987,95,G#,Major,76,96,70,18,0,33,4
Una Noche en Medellï¿½,Cris Mj,682475162,96,A#,Minor,87,82,53,10,0,5,8
Envolver,Anitta,546191065,92,E,Minor,81,40,73,15,0,9,8
Starlight,Dave,229473310,124,G,Major,95,36,37,35,0,10,28
Hati-Hati di Jalan,Tulus,202677468,72,F#,Major,64,76,44,70,9,12,4
DANï¿½ï¿½A,"Mc Pedrinho, Pedro Sampaio",208166039,135,A,Minor,78,55,57,4,0,10,8
Yo Voy (feat. Daddy Yankee),Zion & Lennox,527033089,95,A#,Major,81,56,70,4,0,5,24
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",94616487,71,C#,Minor,59,70,74,56,0,11,40
Jordan,Ryan Castro,394030335,180,A#,Minor,80,71,68,6,0,10,37
Nail Tech,Jack Harlow,193443895,150,E,Minor,65,11,58,0,0,12,9
Chale,Eden Muï¿½ï,299648208,189,G#,Major,55,86,44,40,0,7,4
Ya No Somos Ni Seremos,Christian Nodal,319757142,140,G,Major,59,73,45,44,0,34,3
Freaky Deaky,"Tyga, Doja Cat",153240879,104,D,Minor,80,24,65,2,0,9,4
this is what falling in love feels like,JVKE,346127840,129,B,Major,42,33,44,62,0,8,6
La Zona,Bad Bunny,312622938,94,C#,Minor,76,81,80,20,0,25,4
Hope,XXXTENTACION,1200808494,146,A,Minor,59,23,46,66,0,15,6
Levitating,Dua Lipa,797196073,103,F#,Minor,69,90,88,5,0,29,8
Wake Me Up - Radio Edit,Avicii,1970673297,124,D,Major,53,66,78,0,0,16,5
"jealousy, jealousy",Olivia Rodrigo,665765558,164,A#,Minor,70,71,58,24,0,7,13
Demasiadas Mujeres,C. Tangana,339473453,126,A,Minor,67,37,46,13,0,10,39
Something Just Like This,"The Chainsmokers, Coldplay",2204080728,103,B,Minor,61,47,65,3,0,17,4
Closer,"The Chainsmokers, Halsey",2591224264,95,G#,Major,75,64,52,41,0,11,3
O.O,NMIXX,135444283,200,B,Minor,39,28,77,4,0,6,29
Tom's Diner,"AnnenMayKantereit, Giant Rooks",236872197,98,F#,Minor,68,33,43,38,0,36,14
First Class,Jack Harlow,694525298,107,G#,Major,91,32,56,3,0,11,10
Fuera del mercado,Danny Ocean,421365166,92,G#,Major,45,27,67,32,0,13,14
When You're Gone,Shawn Mendes,255120451,147,F,Major,60,58,69,2,0,58,4
In My Head,Lil Tjay,190981339,143,C#,Major,68,41,55,16,0,10,12
Wait a Minute!,Willow,924193303,101,D#,Minor,76,63,71,3,0,10,3
LOVE DIVE,IVE,305771063,118,C#,Minor,70,54,71,0,0,33,4
Pantysito,"Feid, Alejo, Robi",273005485,98,G,Minor,83,63,74,14,0,16,6
Chance,Paulo Londra,89566512,138,C#,Minor,72,22,46,24,0,9,6
Cool for the Summer,Demi Lovato,677389855,114,F,Minor,59,30,62,1,0,8,4
psychofreak (feat. WILLOW),"Camila Cabello, Willow",75476209,180,G,Minor,63,45,64,34,0,9,8
Angel Baby,Troye Sivan,408843328,145,B,Major,56,41,57,1,0,13,3
Si Quieren Frontear,"De La Ghetto, Duki, Quevedo",178512385,82,A#,Major,79,48,84,13,0,21,23
Right On,Lil Baby,101780047,166,D,Major,70,22,61,2,0,10,34
That's Hilarious,Charlie Puth,146363130,108,F#,Major,71,55,44,74,0,11,6
Soy El Unico,Yahritza Y Su Esencia,126443991,84,E,Minor,71,63,45,45,0,11,3
RUMBATï¿½,Daddy Yankee,157990698,95,D#,Minor,69,90,91,6,0,35,4
Falling,Harry Styles,1023187129,110,E,Major,57,6,27,84,0,9,3
Sigue,"Ed Sheeran, J Balvin",106933107,88,G,Major,89,59,64,5,0,19,7
Fim de Semana no Rio,teto,139193812,119,C#,Minor,87,28,50,12,0,10,10
MANIAC,Stray Kids,212234990,120,C#,Major,58,71,80,15,0,7,41
There's Nothing Holdin' Me Back,Shawn Mendes,1714490998,122,D,Major,86,97,80,36,0,9,6
IDGAF (with blackbear),"Blackbear, BoyWithUke",197643795,98,F,Major,78,83,75,41,0,27,8
Golden,Harry Styles,807015863,140,E,Minor,45,25,84,21,0,13,6
Get Lucky - Radio Edit,"Pharrell Williams, Nile Rodgers, Daft Punk",933815613,116,F#,Minor,79,87,81,4,0,10,4
Ain't Shit,Doja Cat,499710590,124,D#,Major,86,62,49,51,0,35,21
"Nobody Like U - From ""Turning Red""","Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill",120847157,105,A,Minor,91,73,72,13,0,9,15
Still Life,BIGBANG,53909146,118,G#,Major,68,24,58,44,0,6,3
Photograph,Ed Sheeran,2236667932,108,E,Major,61,20,38,61,0,10,5
Love Yourself,Justin Bieber,2123309722,100,E,Major,61,53,38,84,0,28,44
N95,Kendrick Lamar,301242089,140,D#,Minor,81,39,66,38,0,12,14
About Damn Time,Lizzo,723894473,109,A#,Minor,84,72,74,10,0,34,7
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",237351106,101,C#,Minor,78,40,74,36,0,17,27
Despuï¿½ï¿½s de la P,Bad Bunny,461558540,78,F,Major,56,61,90,36,0,18,31
United In Grief,Kendrick Lamar,156898322,87,G#,Major,52,32,83,24,0,17,43
Father Time (feat. Sampha),"Kendrick Lamar, Sampha",127309180,153,A#,Minor,55,50,78,19,0,11,35
Rich Spirit,Kendrick Lamar,173702135,96,A#,Minor,85,41,43,39,0,12,21
Me Fui de Vacaciones,Bad Bunny,305650299,85,A#,Major,71,43,65,23,0,9,5
Silent Hill,"Kendrick Lamar, Kodak Black",123216717,140,C#,Minor,92,78,57,46,0,14,9
La Corriente,"Tony Dize, Bad Bunny",479655659,196,B,Minor,66,58,79,23,0,22,20
Count Me Out,Kendrick Lamar,126191104,134,G,Major,78,51,43,69,0,14,9
Andrea,"Buscabulla, Bad Bunny",344055883,103,C#,Minor,80,45,62,76,0,10,38
Dos Mil 16,Bad Bunny,338422004,130,C#,Major,82,50,67,12,0,13,5
We Cry Together,"Kendrick Lamar, Taylour Paige",68895644,108,B,Major,65,52,69,31,0,8,36
Savior,"Kendrick Lamar, Sam Dew, Baby Keem",86176890,123,G#,Major,61,66,71,53,0,32,46
Un Coco,Bad Bunny,403231558,152,B,Major,84,74,69,21,0,18,6
Otro Atardecer,"Bad Bunny, The Marï¿½ï",319546754,108,D,Major,78,55,60,59,0,7,4
Worldwide Steppers,Kendrick Lamar,61739839,72,A#,Minor,56,56,47,76,0,8,36
Aguacero,Bad Bunny,283359161,121,F#,Minor,86,67,65,42,0,35,7
Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",76831876,138,D#,Minor,57,71,82,19,0,15,29
Un Verano Sin Ti,Bad Bunny,283332261,188,F,Minor,50,41,50,69,0,12,6
ULTRA SOLO,"Polima WestCoast, Pailita",307752576,110,C#,Major,80,26,85,23,0,11,21
El Apagï¿½,Bad Bunny,212351890,118,G#,Major,63,60,70,5,0,9,31
Callaita,"Bad Bunny, Tainy",1304313953,176,D,Major,61,24,62,60,0,24,31
Dua Lipa,Jack Harlow,150500965,158,B,Major,83,41,65,0,10,11,8
Agosto,Bad Bunny,246127838,115,C#,Minor,85,72,58,9,0,49,12
House Of Memories,Panic! At The Disco,582863434,110,B,Minor,51,48,82,0,0,5,3
Mr. Morale,"Kendrick Lamar, Tanna Leone",58687425,174,A,Major,73,26,54,30,0,34,32
That That (prod. & feat. SUGA of BTS),"PSY, Suga",212109195,130,E,Major,91,91,96,3,0,3,9
In The Stars,Benson Boone,382199619,78,A#,Major,36,30,54,34,0,14,5
Rich - Interlude,Kendrick Lamar,41210087,104,G,Major,44,74,42,88,0,9,9
Stefania (Kalush Orchestra),KALUSH,53729194,105,D,Major,83,32,82,14,0,12,4
Thousand Miles,The Kid Laroi,244741137,81,G,Major,38,20,66,9,0,9,8
Crown,Kendrick Lamar,42485571,170,C#,Minor,37,14,24,80,0,11,4
Auntie Diaries,Kendrick Lamar,37778188,78,G,Major,43,60,38,76,1,48,38
PUFFIN ON ZOOTIEZ,Future,254218729,125,G#,Major,88,28,66,6,0,13,31
Mirror,Kendrick Lamar,53603447,92,E,Minor,66,29,65,23,0,8,7
Beautiful Girl,Luciano,160035717,140,B,Minor,84,61,42,31,0,9,9
Savior - Interlude,Kendrick Lamar,37091576,118,F,Minor,66,83,43,84,0,19,19
Pasoori,"Shae Gill, Ali Sethi",284249832,92,B,Minor,71,67,60,7,0,6,4
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",33381454,140,G#,Minor,49,50,37,87,0,11,35
Where Did You Go?,"MNEK, Jax Jones",300983101,127,A#,Major,77,53,78,19,0,29,4
I Tried to Tell Y'all,"Ugly Dray, Tesla Jnr",121077868,96,B,Major,71,37,52,62,0,11,36
Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",106919680,150,G#,Minor,82,82,66,13,0,11,6
ZOOM,Jessi,136996305,100,F#,Major,87,46,60,1,0,13,16
SloMo,Chanel,65719930,105,C#,Minor,73,59,81,13,0,9,6
FEARLESS,LE SSERAFIM,229497852,104,G,Major,86,43,62,5,0,13,14
10 Things I Hate About You,Leah Kate,185550869,154,G#,Major,54,45,79,1,0,17,5
SPACE MAN,Sam Ryder,54682594,80,B,Major,47,33,83,18,0,10,5
With you,"HA SUNG WOON, Jimin",240580042,150,D#,Major,53,14,43,64,0,13,3
Iris,The Goo Goo Dolls,1284942608,156,B,Minor,32,49,72,0,0,9,4
The Heart Part 5,Kendrick Lamar,71423324,98,G#,Minor,76,79,81,18,0,6,34
San Lucas,Kevin Kaarl,244891912,92,G,Major,58,27,36,86,0,9,3
This Love (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,132171975,144,E,Major,47,7,50,32,0,7,4
Good Looking,Suki Waterhouse,184706613,150,E,Major,37,27,56,8,0,13,3
Flowers,Lauren Spencer Smith,184826429,138,D#,Major,70,31,44,84,0,9,39
Yet To Come,BTS,302006641,172,C#,Major,56,68,89,4,0,33,19
Run BTS,BTS,330881149,77,G#,Major,72,70,82,2,0,4,17
Music For a Sushi Restaurant,Harry Styles,334733572,107,B,Major,72,36,72,26,6,11,4
Matilda,Harry Styles,366214458,114,D,Major,51,39,29,90,0,10,4
For Youth,BTS,114546317,117,D,Major,63,29,51,43,0,25,4
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,448500832,160,G#,Minor,80,74,60,8,0,14,26
Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",136676504,120,G,Major,88,15,56,1,0,8,6
Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",190625045,100,B,Minor,82,76,70,16,0,8,5
Born Singer,BTS,79095270,158,G#,Minor,60,68,84,4,0,24,11
Little Freak,Harry Styles,273194684,142,D#,Major,56,40,54,72,0,10,4
La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",333146475,170,A,Minor,80,77,85,11,0,17,14
True Love,"Kanye West, XXXTENTACION",194902696,84,F,Minor,71,39,86,2,0,51,25
Pass The Dutchie,Musical Youth,195918494,151,G,Major,73,88,67,20,0,32,5
"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",248511839,128,C#,Minor,82,42,75,6,0,63,6
Love Of My Life,Harry Styles,233671263,118,G,Major,56,20,54,67,0,6,5
Grapejuice,Harry Styles,199587884,183,F,Major,65,88,72,36,14,20,3
So Good,Halsey,91781263,83,D#,Minor,63,29,62,4,0,18,4
Belly Dancer,"BYOR, Imanbek",383835984,122,C#,Major,85,42,80,6,0,17,14
Keep Driving,Harry Styles,236060709,165,A,Major,72,90,48,32,0,18,23
Cinema,Harry Styles,189236868,106,A,Minor,83,90,64,35,5,9,4
Die Young (feat. 347aidan),"Sleepy hallow, 347aidan",160845341,77,B,Major,81,68,58,83,0,11,34
Only Love Can Hurt Like This,Paloma Faith,588955257,91,G#,Major,57,30,89,10,0,33,8
Hold My Hand,Lady Gaga,238350348,148,G,Major,51,21,63,5,0,41,3
Daydreaming,Harry Styles,187703102,114,E,Minor,71,90,81,31,2,13,3
Nos Comemos (feat. Ozuna),"Ozuna, Tiago pzk",138334433,92,F#,Major,83,56,82,10,0,9,5
Me and Your Mama,Childish Gambino,445590495,118,F,Major,56,25,45,1,3,7,3
Crazy What Love Can Do,"David Guetta, Ella Henderson, Becky Hill",286739476,123,E,Minor,60,46,71,3,0,16,4
SLOW DANCING IN THE DARK,Joji,1122364376,89,D#,Major,52,28,48,54,1,19,3
Antes de Perderte,Duki,157136970,110,F,Minor,81,61,93,49,0,12,11
295,Sidhu Moose Wala,183273246,90,B,Minor,68,54,76,21,0,11,20
En El Radio Un Cochinero,Victor Cibrian,164856284,154,F#,Minor,70,97,62,47,0,10,4
Master of Puppets (Remastered),Metallica,704171068,105,E,Minor,54,59,83,0,44,20,4
ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",279717388,110,C#,Major,91,59,82,8,0,6,8
Massive,Drake,195628667,125,E,Minor,51,5,68,12,2,15,6
Betty (Get Money),Yung Gravy,221752937,102,C#,Major,73,62,75,0,0,34,8
Ojos Marrones,Lasso,263280370,120,G#,Minor,81,72,65,4,0,14,4
POP!,Nayeon,213505179,97,D,Major,80,36,86,4,0,3,5
MORE,j-hope,155795783,97,D,Major,78,31,72,1,0,11,4
Sweet Child O' Mine,Guns N' Roses,1553497987,125,F#,Major,45,67,90,9,11,10,5
Last Last,Burna Boy,293466523,88,D#,Minor,80,55,56,13,0,8,9
Sticky,Drake,191448892,137,A#,Minor,88,8,49,9,0,9,14
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",85924992,157,A,Major,88,52,69,0,0,8,23
Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",176103902,130,F#,Major,95,83,57,54,0,10,25
La Loto,"Anitta, Tini, Becky G",121189256,90,C#,Major,85,80,83,10,0,8,11
die first,Nessa Barrett,131746175,183,G#,Minor,44,44,67,7,0,12,13
Afraid To Feel,LF System,244790012,128,C#,Major,58,68,91,2,0,27,11
Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",129314708,130,D#,Minor,71,78,40,46,0,7,45
STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",170732845,130,E,Minor,72,18,46,7,0,28,8
Si Te La Encuentras Por Ahï¿,Feid,179061440,172,G#,Minor,74,46,58,15,0,13,8
GIVENCHY,Duki,185236961,103,G#,Major,61,38,62,14,0,23,40
ALIEN SUPERSTAR,Beyoncï¿,171788484,122,A#,Minor,55,46,64,0,0,17,10
Mary On A Cross,Ghost,387080183,130,B,Major,47,56,90,0,0,10,4
Attention,NewJeans,264717480,105,A#,Minor,81,70,65,24,0,8,4
THE SHADE,Rex Orange County,244928911,120,F,Major,90,73,51,39,0,9,6
"Come Back Home - From ""Purple Hearts""",Sofia Carson,97610446,145,G,Major,56,43,53,24,0,12,4
El Rescate,"Grupo Marca Registrada, Junior H",287278853,99,G,Minor,79,64,59,28,0,11,14
Heartless,Kanye West,887906111,88,A#,Minor,79,66,65,5,0,25,14
"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",123473120,126,A,Major,81,90,73,28,0,29,4
JGL,"Luis R Conriquez, La Adictiva",323455692,113,G#,Major,70,97,59,55,0,27,12
Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",240918092,132,B,Major,82,49,88,20,0,21,3
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",191873381,135,G#,Major,77,74,74,47,0,34,8
Forget Me,Lewis Capaldi,239411309,102,C#,Minor,67,72,74,30,0,36,4
Bound 2,Kanye West,703301727,149,C#,Major,37,28,66,14,0,9,5
Talk that Talk,TWICE,189476119,120,D#,Minor,77,78,91,14,0,33,12
BILLIE EILISH.,Armani White,277132266,100,C#,Major,90,75,50,11,0,9,26
Ferxxo 100,Feid,278920007,164,G#,Minor,70,58,57,25,0,15,7
KU LO SA - A COLORS SHOW,Oxlade,222410722,93,A#,Minor,65,79,66,31,0,22,7
Prohibidox,Feid,185392587,180,C#,Minor,65,52,80,5,0,6,25
Static,Steve Lacy,202452860,79,C#,Major,34,22,31,43,63,10,7
The Scientist,Coldplay,1608164312,146,F,Major,56,21,44,73,0,11,2
Sparks,Coldplay,624101957,103,C#,Major,37,17,27,75,5,10,3
Talk,YEAT,148461629,140,E,Minor,70,26,76,8,0,54,23
XQ Te Pones Asï¿,"Yandel, Feid",47093942,92,A#,Major,81,48,70,13,0,15,7
Selfish,PnB Rock,380319238,102,C#,Minor,64,4,60,11,0,19,4
Lady Mi Amor,Feid,53987404,93,D,Major,78,75,62,6,0,15,6
Poland,Lil Yachty,115331792,150,F,Minor,70,26,56,14,83,11,5
Bye Bye,"Marshmello, Juice WRLD",84697729,83,D#,Minor,65,24,53,6,0,51,4
BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",159240673,102,A,Major,84,43,75,5,0,6,8
Nxde,(G)I-DLE,170709584,136,E,Minor,73,65,91,4,0,48,18
Miss You,Southstar,154356956,145,A,Major,66,24,58,17,0,19,5
we fell in love in october,girl in red,723043854,130,G,Major,57,24,37,11,18,16,3
2 Be Loved (Am I Ready),Lizzo,247689123,156,G,Major,72,92,77,9,0,8,11
Celestial,Ed Sheeran,176474912,123,D,Major,57,50,85,5,0,16,4
Typa Girl,BLACKPINK,235549288,132,G,Major,92,53,62,7,0,63,10
California Breeze,Lil Baby,85559365,162,F,Minor,74,22,67,0,0,11,46
Bamba (feat. Aitch & BIA),"Luciano, Aitch, Bï¿½",146223492,138,A#,Major,80,82,81,14,0,13,36
Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",187701588,161,A#,Minor,59,62,60,12,0,5,44
Major Distribution,"Drake, 21 Savage",154863153,131,G#,Minor,91,23,55,1,0,7,32
Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",191333656,122,E,Minor,75,45,63,6,0,35,12
Vigilante Shit,Taylor Swift,253650850,80,E,Minor,80,16,28,17,0,12,39
Question...?,Taylor Swift,223064273,109,G,Major,75,11,50,20,0,30,17
On BS,"Drake, 21 Savage",170413877,158,A,Major,84,33,36,2,0,39,59
Mastermind,Taylor Swift,218320587,126,E,Major,66,12,35,55,0,9,14
Circo Loco,"Drake, 21 Savage",141720999,104,C#,Major,73,25,61,1,0,32,7
Spin Bout U,"Drake, 21 Savage",198365537,130,G,Major,77,20,70,1,0,16,5
"Would've, Could've, Should've",Taylor Swift,177503916,158,G,Major,48,55,84,43,0,15,12
Con La Brisa,"Ludwig Goransson, Foudeqush",71095708,114,D,Minor,62,25,44,51,33,14,3
Privileged Rappers,"Drake, 21 Savage",112436403,144,F,Major,93,62,61,0,0,12,20
The Astronaut,Jin,203436468,125,F,Major,54,22,76,0,0,14,3
BackOutsideBoyz,Drake,93367537,142,F,Minor,85,40,43,4,0,39,32
Broke Boys,"Drake, 21 Savage",106249219,120,D,Major,64,11,53,1,0,25,27
The Great War,Taylor Swift,181382590,96,F,Major,57,55,74,22,0,8,4
My Mind & Me,Selena Gomez,91473363,144,A,Major,60,24,39,57,0,8,3
Bigger Than The Whole Sky,Taylor Swift,121871870,166,F#,Major,42,7,24,83,1,12,6
A Veces (feat. Feid),"Feid, Paulo Londra",73513683,92,C#,Major,80,81,67,4,0,8,6
En La De Ella,"Feid, Sech, Jhayco",133895612,97,C#,Major,82,67,77,8,0,12,5
Alone,Burna Boy,96007391,90,E,Minor,61,32,67,15,0,11,5
